MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
375605000,2025-08-11T16:33:35,18.256907051519537,-64.98108859805245,0,0,-1.91473395058724,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:35,18.23243521520038,-64.98206890885412,0,0,1.8812633962128205,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:35,18.25848747451147,-64.97727954416563,0,0,-2.3321723974244293,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:35,18.244424348139468,-64.9784763787815,0,0,2.2467688596888036,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:36,18.256899892885517,-64.9810921470402,0,0,-1.9126621254272467,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:36,18.23243154757035,-64.98207812315982,0,0,1.455934658356508,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:36,18.25849688139049,-64.97728952111109,0,0,-1.6799093583341043,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:36,18.244424353616818,-64.97847632490941,0,0,2.2466485506111917,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:37,18.25688880642542,-64.9810971840473,0,0,-1.9176563157086948,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:37,18.23243123077012,-64.98208863088962,0,0,1.3185785392417095,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:37,18.258503088497523,-64.97730480239301,0,0,-1.339545565877778,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:37,18.244424370161855,-64.97847647599117,0,0,2.2467814469803287,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:37,18.25688113464137,-64.98110061629266,0,0,-1.931318441612217,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:37,18.232433374858925,-64.982092392223,0,0,1.3215081498486778,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:37,18.258503251180883,-64.97731189286124,0,0,-1.0513748549257766,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:37,18.244424350742168,-64.97847660289982,0,0,2.246947881110596,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:38,18.256869876608942,-64.98110529455899,0,0,-1.9418651754750333,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:38,18.23243931556701,-64.98209352492927,0,0,1.4353769264829646,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:38,18.258500807651945,-64.97731714166981,0,0,-1.011321021647559,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:38,18.244424335043384,-64.97847654319679,0,0,2.2468699157791336,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:39,18.25686242459445,-64.98110837899608,0,0,-1.9558686951161728,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:39,18.232444826103986,-64.98209221877057,0,0,1.711211173323828,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:39,18.25849819074642,-64.97731711759636,0,0,-1.138452428090954,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:39,18.244424364236536,-64.97847645163256,0,0,2.2466322773579446,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:40,18.256851008248763,-64.98111324304742,0,0,-1.9623092731620697,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:40,18.23245527956756,-64.98208899447717,0,0,1.9231042165724321,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:40,18.258492577679437,-64.97731258818008,0,0,-1.3121939202543216,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:40,18.244424369581633,-64.97847648795545,0,0,2.246693029851105,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:41,18.25684342062977,-64.98111640943745,0,0,-1.9660328621329746,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:41,18.23246352959702,-64.9820871222888,0,0,2.2108423381444906,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:41,18.25848731796677,-64.97730781385394,0,0,-1.6344928147751083,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:41,18.24442432332469,-64.97847653854059,0,0,2.246827464804267,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:42,18.256832107335036,-64.98112146515182,0,0,-1.9650056546330275,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:42,18.232476871717864,-64.98208624481623,0,0,2.34921732401693,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:42,18.25847712264411,-64.97730033378242,0,0,-1.8459059653347538,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:42,18.244424312210505,-64.97847646318118,0,0,2.2467022302304134,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:43,18.256824678394924,-64.98112481240884,0,0,-1.9595924747097888,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:43,18.232485679472383,-64.9820872780408,0,0,2.448068975154699,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:43,18.25846904861343,-64.97729616839236,0,0,-2.092055051167846,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:43,18.244424364722736,-64.97847641615164,0,0,2.246506764386249,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:44,18.25681343918346,-64.9811298253703,0,0,-1.9547459067821191,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:44,18.23249789611764,-64.982091216745,0,0,2.4423790409606276,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:44,18.258455951508328,-64.9772924490619,0,0,-2.185758267217819,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:44,18.244424374696226,-64.97847654061371,0,0,2.2466903105090004,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:45,18.256805810735315,-64.98113335478477,0,0,-1.9479093899716624,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:45,18.232505211032883,-64.98209524147022,0,0,2.350309087044882,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:45,18.258447116624314,-64.97729201494637,0,0,-2.2131402285089106,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:45,18.244424317729504,-64.97847665295723,0,0,2.2469663261073216,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:46,18.256794626822447,-64.98113827071538,0,0,-1.944403053186531,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:46,18.232515262365922,-64.9821025811254,0,0,2.254299402650457,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:46,18.258434509783317,-64.97729388258314,0,0,-2.1666001670477386,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
